asv,1256-392-Ma-1,1256-393-Ma-2,1256-394-Ma-3,1256-395-Ma-4,1256-396-Ma-5,1256-397-Ma-6,1256-398-Ma-7,1256-399-Ma-8,1256-400-Ma-9,1256-401-Ma-10,1256-402-Ma-11,1256-403-Ma-12,1256-404-Ma-13,1256-405-Ma-14,1256-406-Ma-15,1256-407-Ma-16,1256-408-Ma-17,1256-409-Ma-18,1256-410-Ma-19,1256-411-Ma-20,1256-412-Ma-21,1256-413-Ma-22,1256-414-Ma-23,1256-415-Ma-24,1256-416-Ma-25,1256-417-Ma-26,1256-418-Ma-27,1256-419-Ma-28,1256-420-Ma-29,1256-421-Ma-30,1256-422-Ma-31,1256-423-Ma-32,1256-424-Ma-33,1256-425-Ma-34,1256-426-Ma-35,1256-427-Ma-36,1256-428-Ma-37,1256-429-Ma-38,1256-430-Ma-39,1256-431-Ma-40,1256-432-Ma-41,1256-433-Ma-42,1256-434-Ma-43,1256-435-Ma-44,1256-436-Ma-45,1256-437-Ma-46,1256-438-Ma-47,1256-439-Ma-48,1256-440-Ma-49,1256-441-Ma-50,1256-442-Ma-51,1256-443-Ma-52,1256-444-Ma-53,1256-445-Ma-54,1256-446-Ma-55,1256-447-Ma-56,1256-448-Ma-57,1256-449-Ma-58,1256-450-Ma-59,1256-451-Ma-60,1256-452-Ma-61,1256-453-Ma-62,1256-454-Ma-63,1256-455-Ma-64,1256-456-Ma-65,1256-457-Ma-66,1256-458-Ma-67,1256-459-Ma-68,1256-460-Ma-69,1256-461-Ma-70,1256-462-Ma-71,1256-463-Ma-72
asv0011,1217,1042,1144,753,1008,1126,1137,1308,826,596,810,265,1127,378,488,216,524,316,337,315,363,55,207,0,408,560,575,718,513,79,316,273,0,0,0,0,1120,1620,1163,1591,558,1024,695,1113,611,534,532,1078,571,1153,562,682,0,0,65,53,139,87,98,101,234,80,170,127,132,87,487,232,240,273,0,0
asv0012,1181,1032,1144,730,947,1137,1072,1161,747,655,658,281,1190,375,393,154,518,316,323,328,335,52,159,41,432,579,635,670,550,68,339,243,0,0,0,0,1064,1475,1091,1538,646,1061,659,1095,496,526,527,1067,578,1148,469,655,0,0,62,63,129,89,119,101,272,84,196,121,175,99,510,294,257,301,0,0
asv0013,1272,1075,1089,715,1001,1100,1138,1236,752,622,757,334,1113,351,386,210,449,280,351,317,349,45,190,0,443,518,654,676,474,50,299,254,0,0,0,0,1130,1585,972,1418,602,882,615,1092,533,512,506,1035,674,1201,579,626,0,0,53,75,106,95,116,107,274,81,183,143,138,88,479,281,249,250,0,0
asv0014,1200,991,1030,772,967,997,1057,1236,759,524,722,275,1099,376,439,210,466,343,328,321,389,35,159,65,437,577,587,661,526,65,348,258,0,0,0,0,1212,1550,1060,1546,623,1000,690,1010,521,618,519,1062,598,1164,535,666,0,0,45,28,78,65,90,69,172,49,137,107,97,64,357,202,155,212,0,0
asv0015,1171,990,1013,731,937,955,1135,1169,717,592,652,261,1152,324,376,216,455,303,304,257,331,44,190,0,408,531,577,581,443,82,330,268,0,0,0,0,988,1494,1059,1511,639,955,687,1029,495,523,440,955,569,1163,584,574,0,0,49,41,101,84,93,109,234,70,163,107,143,86,455,249,203,238,0,0
asv0016,1128,936,844,668,907,969,997,1170,667,528,715,429,1026,308,300,203,430,274,288,280,284,40,155,0,370,493,507,586,359,52,249,257,0,0,0,0,941,1426,896,1295,453,857,526,943,460,503,494,908,515,1025,531,628,0,0,54,45,127,68,89,86,215,72,145,136,148,83,417,248,205,216,0,0
asv0017,1061,836,894,662,897,1024,998,1015,629,456,692,395,954,318,283,178,391,239,244,236,261,34,143,0,336,440,482,534,390,59,253,226,0,0,0,0,936,1341,934,1313,476,823,492,891,449,435,439,846,493,916,537,648,0,0,57,48,103,74,104,76,210,73,149,119,132,70,469,240,192,203,0,0
asv0018,1102,914,939,677,907,913,920,1072,686,529,651,392,1021,302,360,193,420,224,264,269,253,43,156,0,378,480,436,512,448,52,309,220,0,0,0,0,936,1224,853,1225,469,832,532,962,416,495,459,834,473,994,541,554,0,0,43,41,82,73,69,70,196,61,125,106,119,67,377,214,171,168,0,0
asv0019,935,857,921,593,813,810,942,1034,675,552,631,204,946,290,357,187,463,279,232,253,256,49,170,0,330,478,476,505,417,58,298,214,0,0,0,0,815,1345,946,1244,470,868,605,919,358,421,515,879,431,957,466,552,0,0,72,49,100,85,107,95,238,72,170,120,141,77,428,228,216,243,0,0
asv0020,995,865,881,674,815,869,983,1015,637,496,612,391,995,241,235,158,371,217,211,200,273,44,114,23,342,410,412,504,390,63,232,173,0,0,0,0,808,1275,719,1115,441,701,511,785,353,365,414,727,465,872,475,543,0,0,46,31,75,62,73,69,156,47,122,120,125,58,330,186,140,149,0,0
asv0021,945,743,812,624,919,935,923,1092,576,528,599,355,866,270,241,164,314,228,224,211,231,50,103,0,315,381,388,496,337,61,284,180,0,0,0,0,829,1162,750,1098,462,697,508,769,370,432,336,816,429,870,479,519,0,0,40,36,84,46,74,57,170,39,108,92,114,67,334,177,150,184,0,0
asv0022,918,823,792,588,845,810,890,1019,566,477,517,338,957,246,258,168,313,178,190,211,226,45,125,0,290,388,376,409,352,74,228,189,0,0,0,0,719,962,684,1023,388,607,483,717,356,411,361,814,364,762,463,543,0,0,28,46,78,51,71,54,146,49,93,76,111,51,280,171,132,151,0,0
asv0023,890,713,732,552,768,812,776,975,544,433,581,300,863,240,255,163,321,236,211,222,223,23,132,0,305,345,406,425,365,37,231,160,0,0,0,0,739,1113,699,1023,416,725,427,835,377,378,349,651,316,806,500,442,0,0,47,45,92,58,73,68,219,71,111,108,98,72,357,200,191,175,0,0
asv0024,826,678,713,524,690,770,758,764,521,349,467,299,785,226,232,124,306,201,192,203,186,35,85,0,228,348,359,391,279,50,217,165,0,0,0,0,677,894,627,875,341,571,377,614,330,346,350,570,342,741,432,395,0,0,34,30,64,46,66,68,122,58,89,71,112,58,261,180,140,130,0,0
asv0025,665,602,593,403,521,608,650,701,468,341,467,138,676,265,287,149,327,195,197,202,237,27,109,0,295,322,370,394,320,46,210,140,0,0,0,0,718,1033,668,954,416,664,439,661,318,354,342,597,356,750,355,428,0,0,30,24,67,33,56,36,154,35,102,75,82,42,251,146,111,118,0,0
asv0026,590,554,537,457,542,606,613,630,400,340,359,227,581,207,195,107,261,172,176,140,193,18,79,0,223,280,330,379,257,58,172,134,0,0,0,0,669,840,590,828,339,539,379,603,325,316,299,612,371,590,326,385,0,0,27,32,53,43,68,47,118,46,87,79,78,58,234,127,118,143,0,0
asv0027,264,258,172,150,204,266,194,278,230,229,221,113,392,85,103,54,78,34,36,43,43,0,0,0,147,180,161,192,136,0,124,73,0,0,0,0,0,0,0,0,0,0,0,0,157,169,180,298,199,240,162,202,0,0,0,0,0,0,0,0,0,27,48,41,58,0,162,77,78,76,0,0
asv0028,242,186,197,117,224,232,166,224,213,208,224,112,328,96,97,50,69,50,49,30,60,0,41,0,118,198,172,197,135,0,113,68,0,0,0,0,0,0,0,0,0,0,0,0,135,161,132,309,169,199,145,184,0,0,0,0,0,0,0,0,0,29,40,36,47,33,173,90,66,76,0,0
asv0029,228,168,185,119,187,220,165,276,255,222,276,93,351,130,77,44,66,40,47,55,53,0,28,0,83,159,150,203,127,0,96,68,0,0,0,0,0,0,0,0,0,0,0,0,143,175,139,266,153,207,125,207,0,0,0,0,0,0,33,0,0,0,34,0,37,0,145,83,65,79,0,0
asv0030,229,184,151,146,260,209,149,259,176,206,260,120,404,97,104,42,54,59,54,30,49,0,41,0,93,141,138,187,107,0,90,65,0,0,0,0,0,0,0,0,0,0,0,0,177,141,115,276,113,175,164,201,0,0,0,0,0,0,0,0,0,0,30,0,39,0,113,66,53,72,0,0
asv0031,233,148,159,109,189,185,130,237,240,184,211,103,380,94,116,55,51,23,38,33,38,0,0,0,99,107,156,211,154,0,59,62,0,0,0,0,0,0,0,0,0,0,0,0,120,145,110,260,155,174,132,177,0,0,0,0,0,0,0,0,0,0,47,0,0,0,115,81,63,53,0,0
asv0032,191,142,166,147,162,168,169,272,195,163,212,107,287,85,100,34,48,51,46,34,39,0,28,0,123,153,137,158,170,0,94,52,0,0,0,0,0,0,0,0,0,0,0,0,127,112,136,250,118,154,136,197,0,0,0,0,0,0,0,0,0,0,45,36,35,0,127,78,56,71,0,0
asv0033,229,165,156,110,214,195,141,252,222,189,201,101,279,101,105,29,51,36,46,0,34,0,22,0,114,152,129,197,129,0,72,58,0,0,0,0,0,0,0,0,0,0,0,0,131,143,119,227,131,155,119,173,0,0,0,0,0,0,0,0,0,0,43,32,0,0,99,60,63,64,0,0
asv0034,186,163,119,95,176,177,125,190,162,159,159,95,252,77,81,53,67,35,30,26,26,0,0,0,68,132,116,153,132,0,78,51,0,0,0,0,0,0,0,0,0,0,0,0,111,117,108,240,115,130,114,148,0,0,0,0,0,0,0,0,0,0,28,0,0,0,104,76,48,55,0,0
asv0035,172,124,99,65,140,121,107,170,157,143,151,57,238,81,70,45,54,26,27,32,30,0,0,0,87,99,101,115,96,0,81,64,0,0,0,0,0,0,0,0,0,0,0,0,123,122,110,233,118,144,93,160,0,0,0,0,0,0,0,0,0,0,24,0,0,0,84,47,46,43,0,0
asv0036,159,135,123,75,129,129,107,152,131,120,135,74,246,74,80,42,59,45,0,24,31,0,0,0,89,106,104,111,107,0,64,46,0,0,0,0,0,0,0,0,0,0,0,0,84,105,114,182,104,117,116,97,0,0,0,0,0,0,0,0,0,0,31,0,0,0,91,49,47,56,0,0
asv0037,143,116,102,80,146,117,86,143,148,112,142,58,219,63,71,21,43,49,24,0,23,0,0,0,64,118,124,141,103,0,71,56,0,0,0,0,0,0,0,0,0,0,0,0,94,120,87,214,99,108,94,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,50,34,38,0,0
asv0038,134,95,94,65,104,138,105,158,101,123,112,83,205,48,64,41,41,29,31,20,30,0,0,0,71,83,80,111,94,0,58,50,0,0,0,0,0,0,0,0,0,0,0,0,90,104,90,157,109,113,103,117,0,0,0,0,0,0,0,0,0,21,24,25,33,0,72,54,44,46,0,0
asv0039,115,101,111,57,122,114,102,114,98,123,115,77,200,49,67,39,39,22,30,23,23,0,16,0,58,92,85,104,69,0,50,33,0,0,0,0,0,0,0,0,0,0,0,0,89,82,71,177,82,122,88,122,0,0,0,0,0,0,0,0,0,13,31,21,29,22,82,51,37,38,0,0
asv0040,131,125,95,72,91,116,95,127,87,92,125,89,191,47,60,29,44,45,19,18,16,0,13,0,67,94,80,117,73,0,46,43,0,0,0,0,0,0,0,0,0,0,0,0,89,83,77,155,96,106,85,122,0,0,0,0,0,0,15,0,0,0,28,0,30,0,68,38,39,44,0,0
asv0041,37,26,64,23,29,39,62,34,355,418,240,547,158,75,94,92,0,56,0,47,0,0,0,0,0,0,43,14,0,0,0,17,0,0,0,0,0,18,0,33,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,60,146,0,0,0,52,142,0,0,0,0,0,78,0,0,0
asv0042,15,31,46,16,44,47,62,17,264,381,258,460,134,82,112,70,43,0,76,0,0,0,0,0,0,40,0,0,0,90,0,0,0,0,0,0,0,0,0,31,0,0,0,35,29,23,75,21,0,69,0,0,0,0,0,0,0,0,121,0,0,0,0,0,0,0,126,0,0,98,0,0
asv0043,86,58,101,70,96,79,63,121,105,104,84,68,148,55,46,27,35,13,15,18,28,0,12,0,66,70,61,76,70,0,45,24,0,0,0,0,0,0,0,0,0,0,0,0,73,71,73,143,75,102,93,113,0,0,0,0,0,0,0,0,0,0,20,24,30,0,70,56,38,40,0,0
asv0044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,66,0,0,70,0,0,0,0,0,162,364,299,469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,297,359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,343,332
asv0045,0,0,0,21,0,0,0,0,36,41,0,65,218,119,86,137,129,0,27,26,76,0,214,28,68,68,149,169,0,0,212,94,0,0,0,0,0,69,105,0,0,0,78,61,0,0,55,25,25,0,0,97,0,0,101,0,0,0,0,0,103,0,0,0,0,0,0,0,0,0,0,0
